system:time_start,max,mean,min
"Jan 1, 2010",38.158,26.103,14.629
"Feb 1, 2010",42.363,27.403,16.331
"Mar 1, 2010",43.489,29.928,19.102
"Apr 1, 2010",42.918,28.148,17.835
"May 1, 2010",44.772,30.267,19.635
"Jun 1, 2010",46.783,29.694,21.043
"Jul 1, 2010",43.296,29.795,24.395
"Aug 1, 2010",36.263,29.343,24.503
"Sep 1, 2010",38.531,28.83,23.963
"Oct 1, 2010",40.678,29.874,21.628
"Nov 1, 2010",39.735,28.881,19.429
"Dec 1, 2010",38.073,26.625,16.84
"Jan 1, 2011",36.246,24.591,14.857
"Feb 1, 2011",39.331,25.179,14.326
"Mar 1, 2011",42.817,26.857,17.066
"Apr 1, 2011",43.051,28.19,18.897
"May 1, 2011",42.875,27.857,18.277
"Jun 1, 2011",43.258,28.68,20.857
"Jul 1, 2011",40.993,29.387,23.559
"Aug 1, 2011",37.413,29.142,24.551
"Sep 1, 2011",38.769,30.142,23.609
"Oct 1, 2011",41.136,31.251,22.681
"Nov 1, 2011",40.679,28.926,19.082
"Dec 1, 2011",37.385,25.334,15.026
"Jan 1, 2012",38.156,24.463,12.476
"Feb 1, 2012",37.721,24.612,13.781
"Mar 1, 2012",40.173,27.447,17.221
"Apr 1, 2012",40.517,27.329,16.516
"May 1, 2012",44.558,29.89,19.947
"Jun 1, 2012",44.128,29.82,21.983
"Jul 1, 2012",36.837,29.311,24.122
"Aug 1, 2012",36.917,29.31,24.252
"Sep 1, 2012",39.55,29.3,24.358
"Oct 1, 2012",40.85,30.359,22.902
"Nov 1, 2012",40.4,28.62,19.273
"Dec 1, 2012",36.668,24.139,13.869
"Jan 1, 2013",37.046,24.08,13.349
"Feb 1, 2013",38.294,26.924,16.694
"Mar 1, 2013",41.861,28.092,17.442
"Apr 1, 2013",43.261,27.262,17.46
"May 1, 2013",45.367,31.089,18.428
"Jun 1, 2013",42.319,28.982,21.322
"Jul 1, 2013",38.334,29.569,23.777
"Aug 1, 2013",37.98,28.614,24.18
"Sep 1, 2013",39.791,29.269,23.183
"Oct 1, 2013",42.168,30.558,23.13
"Nov 1, 2013",39.895,28.017,17.402
"Dec 1, 2013",38.162,25.201,14.83
"Jan 1, 2014",37.845,24.178,14.476
"Feb 1, 2014",36.769,25.036,14.043
"Mar 1, 2014",40.588,26.452,15.167
"Apr 1, 2014",45.083,29.41,16.091
"May 1, 2014",43.776,28.047,18.112
"Jun 1, 2014",44.701,30.003,21.376
"Jul 1, 2014",43.024,29.976,23.881
"Aug 1, 2014",38.168,29.329,24.411
"Sep 1, 2014",40.561,30.089,25.01
"Oct 1, 2014",41.183,30.829,21.685
"Nov 1, 2014",39.923,27.712,16.755
"Dec 1, 2014",36.97,25.403,13.14
"Jan 1, 2015",34.543,24.475,16.363
"Feb 1, 2015",37.6,25.105,14.99
"Mar 1, 2015",40.388,26.436,15.194
"Apr 1, 2015",44.008,29.124,19.384
"May 1, 2015",44.856,29.163,20.64
"Jun 1, 2015",46.384,29.557,20.174
"Jul 1, 2015",38.401,29.748,23.427
"Aug 1, 2015",37.435,29.423,24.574
"Sep 1, 2015",38.157,29.57,24.229
"Oct 1, 2015",40.847,30.797,24.369
"Nov 1, 2015",41.532,29.545,19.698
"Dec 1, 2015",36.39,26.035,16.46
"Jan 1, 2016",38.697,27.277,18.106
"Feb 1, 2016",40.796,26.953,15.606
"Mar 1, 2016",40.51,26.92,15.433
"Apr 1, 2016",45.131,28.794,16.195
"May 1, 2016",42.681,27.986,18.872
"Jun 1, 2016",42.195,28.354,20.729
"Jul 1, 2016",38.474,28.8,22.815
"Aug 1, 2016",37.487,29.539,24.373
"Sep 1, 2016",37.606,29.536,23.642
"Oct 1, 2016",43.26,30.976,22.213
"Nov 1, 2016",39.014,29.134,17.821
"Dec 1, 2016",41.062,26.788,15.837
"Jan 1, 2017",35.058,24.251,13.827
"Feb 1, 2017",37.644,25.156,14.823
"Mar 1, 2017",44.768,29.162,18.079
"Apr 1, 2017",43.977,29.696,17.516
"May 1, 2017",44.913,28.803,19.838
"Jun 1, 2017",41.693,28.85,21.421
"Jul 1, 2017",41.677,29.823,24.156
"Aug 1, 2017",37.07,29.514,24.146
"Sep 1, 2017",43.32,30.253,23.173
"Oct 1, 2017",43.026,32.062,22.717
"Nov 1, 2017",42.724,28.892,18.788
"Dec 1, 2017",38.602,24.211,14.869
"Jan 1, 2018",34.996,23.401,13.586
"Feb 1, 2018",35.497,23.105,14.35
"Mar 1, 2018",42.233,28.363,16.835
"Apr 1, 2018",40.798,26.939,15.887
"May 1, 2018",41.596,27.041,18.492
"Jun 1, 2018",43.866,28.725,20.659
"Jul 1, 2018",37.839,29.098,23.239
"Aug 1, 2018",37.576,29.144,23.699
"Sep 1, 2018",41.462,29.093,23.965
"Oct 1, 2018",41.454,30.379,22.723
"Nov 1, 2018",40.232,27.632,18.461
"Dec 1, 2018",37.852,25.89,14.512
"Jan 1, 2019",37.583,24.272,13.503
"Feb 1, 2019",37.856,26.199,16.818
"Mar 1, 2019",40.286,25.841,15.859
"Apr 1, 2019",42.016,27.754,17.574
"May 1, 2019",43.546,26.955,17.763
"Jun 1, 2019",44.906,29.304,19.683
"Jul 1, 2019",38.939,28.967,22.965
"Aug 1, 2019",37.863,29.247,24.005
"Sep 1, 2019",37.47,29.804,24.656
"Oct 1, 2019",40.862,30.319,21.81
"Nov 1, 2019",40.984,28.915,19.237
"Dec 1, 2019",38.164,26.025,17.086
"Jan 1, 2020",39.338,25.003,13.954
"Feb 1, 2020",39.564,28.914,18.348
"Mar 1, 2020",41.993,28.382,16.475
"Apr 1, 2020",43.725,29.408,18.199
"May 1, 2020",45.076,29.801,20.072
