"sch_mansoni.percent_pos","sch_mansoni.bio01"
18,24.5
5,23.4704401388108
50,24.6000003814697
2,23.1000003814697
3,23.7000007629395
2,22.8999996185303
3,22.7000007629395
8,23.1000003814697
2,22.1000003814697
12,22.5
1,20.7000007629395
1,22.1000003814697
76,23.2000007629395
4,20.7000007629395
3,20.8999996185303
17,22.4961783293706
9,22.7999992370605
81,22.3999996185303
4,21.7000007629395
25,21.7999992370605
1,19.6584670581757
3,21.2999992370605
2,19.1000003814697
5,18.2999992370605
3,20.1956668780282
2,19.2999992370605
1,20.3999996185303
3,21
10,18
10,18.7999992370605
9,18.3999996185303
1,19.3999996185303
1,19.2999992370605
2,19.5
15,18.8999996185303
4,18.7000007629395
1,20.1000003814697
2,18.7000007629395
2,17.5
3,18.1306325890836
26,17.3988623611326
2,18.131656346383
19,18.8999996185303
4,18.2999992370605
10,17.4341460902516
1,17.8905686882453
4,15.6081172645866
13,17.9998368672407
4,19.8999996185303
1,15.551465748964
12,17.6000003814697
2,18.8999996185303
25,16.5
18,24.1000003814697
7,20.2999992370605
5,21.5972225930956
6,16.2000007629395
6,19.7000007629395
7,17.2000007629395
21,16.8999996185303
13,17.1000003814697
3,17.6000003814697
2,21.2000007629395
9,18.2000007629395
14,18.2546491949632
1,19.3999996185303
8,18.5740561117288
4,18.2000007629395
8,17.7999992370605
3,18.8999996185303
1,21.7000007629395
12,19.5
6,17.2000007629395
2,21.7999992370605
2,19.1021280491606
2,19.7999992370605
6,18.2000007629395
8,17.6000003814697
9,19.5397374258057
16,19.8999996185303
13,17.7000007629395
7,21.2999992370605
28,20.0202640489456
34,18.6000003814697
11,23.0730265943628
10,17.9337723997515
9,22.4909835721626
15,18.9886142428559
11,20.875452572667
9,17.2999992370605
2,18.6000003814697
9,17.5727725548319
15,16.85460492498
20,23.3999996185303
18,17.7999992370605
10,18
16,21.8436357671564
6,20.1000003814697
67,19.4085946926401
5,19.4190394262604
9,19.7999992370605
8,19.5228098624994
17,22.1276037925531
7,18.6896218106617
13,18.2000007629395
38,19.5
3,20.6000003814697
21,20.2000007629395
9,19.7000007629395
9,19.7000007629395
55,20.7999992370605
52,22.7538078889152
5,23.1000003814697
2.2,24.7999992370605
2.2,24.7999992370605
2.2,24.7999992370605
2.5,24.7999992370605
2.5,24.7999992370605
16,24.7999992370605
1,21.2999992370605
2,22
2.4,18.7000007629395
9.5,21.7999992370605
9.1,19.017792489619
4,21.8999996185303
38,21.5
38,21.5
45,25.2999992370605
23.5,25.5
23.5,25.5
31.700001,25.5
41.400002,25.5
41.400002,25.5
41.700001,25.5
11.5,25.5
11.5,25.5
33.299999,25.5
6.8,25.5
60.099998,25.5
55,25.5
71,25.5
16.700001,25.5
13.8,25.5
0.5,25.3999996185303
52,25.3999996185303
2.1,22.3999996185303
75,25.5
17.299999,25.5
17.299999,25.5
34.900002,25.2000007629395
8.5,25.3999996185303
8.8,25.5
30.799999,22.5
77.099998,25.5
49.400002,25.5
7.1,19.8999996185303
2,22.4983416188811
0.5,19.8999996185303
4,20.3101153618858
1.6,22.7999992370605
2,23.5
1,24.8244585649741
2.2,24.7000007629395
2.2,24.7000007629395
2.5,21.1000003814697
1.1,21.7000007629395
1.1,21.7000007629395
0.3,21.5
1.1,25.7000007629395
1.1,25.7000007629395
1,25.5
1,25.5
0.5,20.2999992370605
0.5,20.2999992370605
1,25.5777966239815
3.4,20.2999992370605
7.4,20.2999992370605
10.6,20.2999992370605
11.4,20.2999992370605
28.5,20.2999992370605
42.099998,25.5055276592772
35.299999,21.7000007629395
0.8,20.8163872594419
9.8,21.2999992370605
29.799999,25.255033544246
46.400002,25.255033544246
70,21.2000007629395
5.9,20.6000003814697
22.200001,21.2000007629395
2.2,20.6000003814697
10,22.8999996185303
15,19.8999996185303
24,23.1000003814697
3.2,23.1000003814697
8,23.2999992370605
72,22.7462712433379
58,22.6672856297099
0.9,19.8999996185303
6,19.7809842470749
5.2,18.7999992370605
10,20.2000007629395
8.4,20.2999992370605
8.8,20.5
2,19.3999996185303
2,19.4882652613581
0.7,19.2999992370605
19.200001,23.1154503555168
0.5,20.8999996185303
1.8,20.9868824031122
2,21.1037675191278
0.6,20.8754261459507
1.6,20.9715752340343
2,20.1000003814697
1,21
12,20.1453772668969
0.7,19.3411256738083
4,20.3999996185303
3.6,20.2999992370605
1.7,23.6000003814697
2,21.1000003814697
4.8,22.2999992370605
37.5,21.2000007629395
5,22.2000007629395
2.7,20.9636362249201
66.099998,23.7000007629395
79.900002,23.7000007629395
75,23.7000007629395
75,23.7000007629395
68.699997,23.7000007629395
62,23.7000007629395
14.8,22.5161235606486
44.200001,22.6000003814697
8.9,22.7000007629395
33.8,21.5
23.6,20.9
2.8,21
10,23
10,22.99121
2,23
1.3,20.88451
4,23.1
4,23.2
1.4,18.6
5.1,23.6
42,23.22543
2.9,19
61.3,23.70587
6.7,24.3
18.8,24.7
22.6,23.6
63.5,24.3
8,22
45.6,21.83151
45.6,22.6
7.4,22.6
2.1,23.2
13,22.9
13,22.9
16.6,24.6
21.9,25.3
18.6,22.6
21.1,22.6
20.3,22.6
7.3,21.7
7.3,21.7
21.7,21.7
25,21.7
57.1,21.7
11.8,21.7
13.3,21.7
13.3,21.7
5.1,21.7
10.8,21.7
16.4,21.7
27.8,22.07838
27.8,22.07838
81.5,24.6
12.5,25
12.5,25
12,22.1
22,22.1
12,22.1
5.6,21.1
12.5,21.6
12.5,21.6
10,21.6
20,21.6
20,21.6
14.3,21.7
14.3,21.7
13.3,21.6
13.3,21.6
7.7,21.7
26.7,21.7
26.7,21.7
25,21.4
52.9,21.3
18.2,21.6
18.2,21.6
20,21.55246
27.8,21.58504
27.8,21.58504
42,23.24877
77.8,21.4
86.7,21.5
86.7,21.5
28.6,21.6
28.6,21.6
10,21.54842
46.7,21.6
55.6,21.5
55.6,21.5
25,21.7
30.8,21.7
37.5,21.6
37.5,21.6
59.4,21.50194
23.1,21.55483
6.7,21.50158
21.4,21.6
21.4,21.6
31.3,20.94648
31.3,20.94648
10,21.57535
10,21.57535
10.5,21.5
16.7,21.30159
14.3,21.41905
14.3,21.41905
16.7,21.6
22.2,21.06807
28.6,21.6
69.2,21.6
73.3,21.6
73.3,21.6
56.3,21.6
47.1,21.60158
47.1,21.60158
52.9,21.5
50,21.6
37.5,21.5239
46.2,21.6
5,21.6
5,21.6
57.1,21.6
68.8,21.6
68.8,21.6
46.9,21.5
46.9,21.5
30.8,21.6
66.7,21.6
66.7,21.6
75,21.6
73.3,21.6
73.3,21.6
60,22.3
44.4,21.5
44.4,21.5
63.2,21.5
40,22.3
100,22.2
82.4,22.3
87.5,21.5
65,22.2
65,22.2
72.2,22.2
52,21.40879
12.5,21.40879
13.5,21.40879
26.3,21.40879
26.3,21.40879
30,21.40879
13.4,21.40879
14.7,21.40879
12.5,21.40879
35,21.40879
25,21.40879
50,21.40879
18.2,21.40879
8.6,21.30703
28.6,21.5
22,21.5
51.6,21.5
51.9,21.5
51.9,21.5
58.3,21.5
25,21.5
47.1,21.5
23.1,21.5
28.6,21.5
22,21.5
22,21.5
51.6,21.5
51.9,21.5
58.3,21.5
25,21.5
47.1,21.5
23.1,21.5
14.7,21.5
3.1,21.2
3.1,21.2
1.1,21.2
7,21.2
6.7,21.2
14.8,21.2
13.7,21.2
13.7,21.2
11.3,21.2
11.2,21.2
11.2,21.2
11.7,21.2
12.1,21.2
20,21.2
20,21.2
14.3,21.2
20,21.2
20,21.2
16.7,21.2
16.7,21.2
11.2,21.2
11.7,21.2
12.1,21.2
20,21.2
14.3,21.2
20,21.2
16.7,21.2
16.7,21.2
11.2,21.2
11.7,21.2
12.1,21.2
20,21.2
14.3,21.2
20,21.2
16.7,21.2
16.7,21.2
11.2,21.2
11.7,21.2
12.1,21.2
20,21.2
14.3,21.2
20,21.2
16.7,21.2
16.7,21.2
80,22.2
70.6,22.2
70.6,22.2
39.1,21.40458
1.4,21.29683
1.5,21.5
1.5,21.5
54.7,21.41449
54.7,21.41449
54.7,21.41449
54.7,21.41449
54.7,21.41449
12.5,21.41449
31.4,21.41449
53.9,21.41449
60,21.41449
16.7,21.41449
40,21.41449
6.5,21.48236
20,21.5
20,21.5
38.1,21.5
36.7,21.5
44.6,21.5
40,21.5
42.9,21.5
66.7,21.5
50,21.5
50,21.5
33.3,21.5
20,21.5
38.1,21.5
36.7,21.5
44.6,21.5
40,21.5
42.9,21.5
42.9,21.5
66.7,21.5
50,21.5
33.3,21.5
20,21.5
38.1,21.5
36.7,21.5
44.6,21.5
44.6,21.5
40,21.5
42.9,21.5
66.7,21.5
50,21.5
33.3,21.5
75,22.26954
58.8,22.3
60,22.2963
60,22.2963
15.9,21.4
100,22.17042
67.3,21.15536
67.3,21.15536
9.2,21.4
22.2,22.2
22.2,22.2
32.5,22.3194
32.5,22.3194
79.8,22.494
95.2,22.48768
70.6,22
70.6,22
25,22.3
25,22.3
25,22.3
60,22.2
86.7,22.2
86.7,22.2
90.9,22.1
74.4,22.1
100,22
54.2,22.3
59.7,22.3
46.7,22
26.8,22
26.8,22
89.1,22.49471
89.1,22.49471
72.6,22.3
31.4,21.8
81,22.3
52.9,22
78.7,22.2
78.7,22.2
76.2,22.2
41.7,22.5
49.2,22.5
11.1,22.5
94,22.40933
7,22
7,22
18.3,22
13.3,22
50,21.5
39.3,22.4
29.8,22.4
31.3,22.1
5.9,21.77746
40,21.5
64.3,22
10,21.7
10,21.7
1.7,22.34401
8.3,22.33539
2.6,21.7
2,22.3
7.8,22.3
7.8,22.3
84,22.2
75,22.3
58.8,22.3
71.4,22.3
85.7,22.3
27.8,21.39947
27.8,21.39947
87.9,22.3
87.9,22.3
83.9,22.3
85.2,22.3
90,22.3
76.7,22.3
3.1,21.5
66.7,22.17143
50,22.10264
50,22.10264
10.5,22.0843
45,22.1
33.8,21.3
55,22.1
18,22
31.6,22
72.4,22.3
45,21.9
45,21.9
80.2,22.19965
50,22.19965
5.2,21.5
73.3,22.2
49.3,21.3
49.3,21.3
10,21.9
33.3,22.1
33.3,22.1
11.9,22.1
26.7,22.2
19.3,22.2
3.2,21.5
10.4,22
10.4,22
10,22.03845
6.7,22.03845
15,22.1
10,22
2,21.7
2,21.7
30,21.25362
15,22.1
15,22.1
10,22
6.3,21.9
6.3,21.9
5,21.8
2,22
4.3,22.2
